representation,sample_index,split,subject,pc1,pc2
shared,51,source,14,-2.8930459022521973,-6.984440803527832
shared,52,source,14,-2.8930630683898926,-6.984401226043701
shared,53,source,14,-2.8930726051330566,-6.984360694885254
shared,54,source,14,-2.8930768966674805,-6.98431396484375
shared,55,source,14,-2.893085241317749,-6.984275817871094
shared,56,source,14,-2.8931021690368652,-6.984242916107178
shared,57,source,14,-2.893126964569092,-6.984224796295166
shared,58,source,14,-2.8931686878204346,-6.984199047088623
shared,59,source,14,-2.89321231842041,-6.984189987182617
shared,60,source,14,-2.8932571411132812,-6.984195232391357
shared,61,source,14,-2.8933141231536865,-6.984215259552002
shared,62,source,14,-2.8933751583099365,-6.9842448234558105
shared,63,source,14,-2.8934731483459473,-6.984309673309326
shared,64,source,14,-2.8936517238616943,-6.984424114227295
shared,65,source,14,-2.893888235092163,-6.984574794769287
shared,66,source,14,-2.8942208290100098,-6.984800338745117
shared,67,source,14,-2.894777297973633,-6.985198497772217
shared,68,source,14,-2.8951470851898193,-6.985438823699951
shared,69,source,14,-2.8954875469207764,-6.985648155212402
shared,70,source,14,-2.895789623260498,-6.985833168029785
shared,71,source,14,-2.8960464000701904,-6.985990524291992
shared,72,source,14,-2.8962669372558594,-6.986109256744385
shared,73,source,14,-2.8965561389923096,-6.986278057098389
shared,74,source,14,-2.8969619274139404,-6.986515998840332
shared,75,source,14,-2.8974177837371826,-6.98677396774292
shared,76,source,14,-2.897623062133789,-6.986849308013916
shared,77,source,14,-2.8976447582244873,-6.986817836761475
shared,78,source,14,-2.897624969482422,-6.986769199371338
shared,79,source,14,-2.8975980281829834,-6.986717224121094
shared,80,source,14,-2.897590160369873,-6.986678123474121
shared,81,source,14,-2.8974382877349854,-6.986539363861084
shared,82,source,14,-2.8972578048706055,-6.986380577087402
shared,83,source,14,-2.8971776962280273,-6.986299991607666
shared,84,source,14,-2.8970561027526855,-6.986200332641602
shared,85,source,14,-2.896991729736328,-6.986133098602295
shared,86,source,14,-2.8968505859375,-6.986021041870117
shared,87,source,14,-2.89654541015625,-6.985786437988281
shared,88,source,14,-2.8962466716766357,-6.985555171966553
shared,89,source,14,-2.895554304122925,-6.985074996948242
shared,90,source,14,-2.8950936794281006,-6.984738826751709
shared,91,source,14,-2.8948113918304443,-6.9845290184021
shared,92,source,14,-2.8946382999420166,-6.984405994415283
shared,93,source,14,-2.8943727016448975,-6.984230995178223
shared,94,source,14,-2.8941311836242676,-6.984088897705078
shared,95,source,14,-2.8940229415893555,-6.984044551849365
shared,96,source,14,-2.894031524658203,-6.984079360961914
shared,97,source,14,-2.894106864929199,-6.98417329788208
shared,98,source,14,-2.894244909286499,-6.984319686889648
shared,99,source,14,-2.894407272338867,-6.984492301940918
shared,100,source,14,-2.894606113433838,-6.9846978187561035
shared,101,source,14,-2.8949527740478516,-6.985010623931885
shared,102,source,14,-2.895435333251953,-6.985397815704346
shared,103,source,14,-2.896038055419922,-6.985858917236328
shared,104,source,14,-2.897040367126465,-6.986545085906982
shared,105,source,14,-2.8980863094329834,-6.987209320068359
shared,106,source,14,-2.900144338607788,-6.988333702087402
shared,107,source,14,-2.9017484188079834,-6.98911714553833
shared,108,source,14,-2.902693271636963,-6.989566326141357
shared,109,source,14,-2.903763771057129,-6.990016460418701
shared,110,source,14,-2.9048221111297607,-6.9903950691223145
shared,111,source,14,-2.9059739112854004,-6.990747928619385
shared,112,source,14,-2.906939744949341,-6.991000175476074
shared,113,source,14,-2.907945156097412,-6.9912261962890625
shared,114,source,14,-2.9091784954071045,-6.991439342498779
shared,115,source,14,-2.910208225250244,-6.991589069366455
shared,116,source,14,-2.9106028079986572,-6.991642951965332
shared,117,source,14,-2.9108455181121826,-6.991679668426514
shared,118,source,14,-2.9107277393341064,-6.99170446395874
shared,119,source,14,-2.9108731746673584,-6.991735935211182
shared,120,source,14,-2.9108591079711914,-6.991758346557617
shared,121,source,14,-2.9105865955352783,-6.991739273071289
shared,122,source,14,-2.91049861907959,-6.99172830581665
shared,123,source,14,-2.9103429317474365,-6.991698265075684
shared,124,source,14,-2.9100148677825928,-6.991642475128174
shared,125,source,14,-2.9097518920898438,-6.991578578948975
shared,126,source,14,-2.9081103801727295,-6.9913201332092285
shared,127,source,14,-2.9053115844726562,-6.990642070770264
shared,128,source,14,-2.9023478031158447,-6.989570140838623
shared,129,source,14,-2.899374008178711,-6.988143444061279
shared,130,source,14,-2.8974945545196533,-6.987054347991943
shared,131,source,14,-2.8963966369628906,-6.98634672164917
shared,132,source,14,-2.8957161903381348,-6.9858880043029785
shared,133,source,14,-2.895273208618164,-6.9855804443359375
shared,134,source,14,-2.894923686981201,-6.985332012176514
shared,135,source,14,-2.8947179317474365,-6.985188961029053
shared,136,source,14,-2.8945770263671875,-6.985098838806152
shared,137,source,14,-2.894512176513672,-6.985043048858643
shared,138,source,14,-2.8944764137268066,-6.98500919342041
shared,139,source,14,-2.8944802284240723,-6.984999656677246
shared,140,source,14,-2.8945062160491943,-6.984975814819336
shared,141,source,14,-2.8945353031158447,-6.984938144683838
shared,142,source,14,-2.8945770263671875,-6.9849042892456055
shared,143,source,14,-2.8946104049682617,-6.984867572784424
shared,144,source,14,-2.894641399383545,-6.984809398651123
shared,145,source,14,-2.894667625427246,-6.984747886657715
shared,146,source,14,-2.8947033882141113,-6.984694480895996
shared,147,source,14,-2.894749164581299,-6.984642028808594
shared,148,source,14,-2.8948047161102295,-6.984580039978027
shared,149,source,14,-2.894857406616211,-6.984485626220703
shared,150,source,14,-2.894911527633667,-6.984375476837158
shared,151,source,14,-2.8949694633483887,-6.9842352867126465
shared,152,source,14,-2.8950283527374268,-6.984092712402344
shared,153,source,14,-2.8950858116149902,-6.983952522277832
shared,154,source,14,-2.8951640129089355,-6.983841419219971
shared,155,source,14,-2.8952407836914062,-6.98370885848999
shared,156,source,14,-2.8953168392181396,-6.983560085296631
shared,157,source,14,-2.8953945636749268,-6.9834089279174805
shared,158,source,14,-2.8954739570617676,-6.983272075653076
shared,159,source,14,-2.895551919937134,-6.983147621154785
shared,160,source,14,-2.895630359649658,-6.9829912185668945
shared,161,source,14,-2.895718812942505,-6.9828386306762695
shared,162,source,14,-2.8958146572113037,-6.982640743255615
shared,163,source,14,-2.895901679992676,-6.982432842254639
shared,164,source,14,-2.8959743976593018,-6.982208728790283
shared,165,source,14,-2.896054983139038,-6.981987953186035
shared,166,source,14,-2.8961148262023926,-6.981761455535889
shared,167,source,14,-2.8961286544799805,-6.981531143188477
shared,168,source,14,-2.8961541652679443,-6.9813079833984375
shared,169,source,14,-2.8961684703826904,-6.981085777282715
shared,170,source,14,-2.8961808681488037,-6.980850696563721
shared,171,source,14,-2.8961925506591797,-6.980635643005371
shared,172,source,14,-2.8962035179138184,-6.9803972244262695
shared,173,source,14,-2.8962411880493164,-6.980221271514893
shared,174,source,14,-2.896268367767334,-6.980064868927002
shared,175,source,14,-2.896318197250366,-6.97998046875
shared,176,source,14,-2.8963584899902344,-6.979910373687744
shared,177,source,14,-2.8963985443115234,-6.979886531829834
shared,178,source,14,-2.8964483737945557,-6.979864120483398
shared,179,source,14,-2.8965158462524414,-6.979849338531494
shared,180,source,14,-2.896585464477539,-6.9798197746276855
shared,181,source,14,-2.8966283798217773,-6.979739189147949
shared,182,source,14,-2.8966777324676514,-6.97960901260376
shared,183,source,14,-2.8966617584228516,-6.979462623596191
shared,184,source,14,-2.896651268005371,-6.979303359985352
shared,185,source,14,-2.8966805934906006,-6.979097366333008
shared,186,source,14,-2.8966987133026123,-6.9788432121276855
shared,187,source,14,-2.896747589111328,-6.978614807128906
shared,188,source,14,-2.896800994873047,-6.978420734405518
shared,189,source,14,-2.896930694580078,-6.97819709777832
shared,190,source,14,-2.8971240520477295,-6.97799825668335
shared,191,source,14,-2.8975205421447754,-6.977869987487793
shared,192,source,14,-2.8981454372406006,-6.9778828620910645
shared,193,source,14,-2.8994157314300537,-6.978155612945557
shared,194,source,14,-2.901510238647461,-6.97886323928833
shared,195,source,14,-2.904397487640381,-6.9799017906188965
shared,196,source,14,-2.907827854156494,-6.980996131896973
shared,197,source,14,-2.912158250808716,-6.981816291809082
shared,198,source,14,-2.9167823791503906,-6.981991291046143
shared,199,source,14,-2.920257806777954,-6.981645107269287
shared,200,source,14,-2.9238717555999756,-6.980593204498291
shared,201,source,14,-2.926175117492676,-6.979540824890137
shared,202,source,14,-2.92830491065979,-6.978338718414307
shared,203,source,14,-2.928962469100952,-6.977694511413574
shared,204,source,14,-2.9290194511413574,-6.977461338043213
shared,205,source,14,-2.9284262657165527,-6.977624416351318
shared,206,source,14,-2.9270615577697754,-6.978116512298584
shared,207,source,14,-2.925565719604492,-6.978580951690674
shared,208,source,14,-2.9227216243743896,-6.979297637939453
shared,209,source,14,-2.9194462299346924,-6.979783535003662
shared,210,source,14,-2.9150192737579346,-6.979768753051758
shared,211,source,14,-2.9104299545288086,-6.97896146774292
shared,212,source,14,-2.9059433937072754,-6.977438449859619
shared,213,source,14,-2.903972864151001,-6.976494789123535
shared,214,source,14,-2.9030416011810303,-6.976018905639648
shared,215,source,14,-2.9035680294036865,-6.976321220397949
shared,216,source,14,-2.9037225246429443,-6.976404190063477
shared,217,source,14,-2.9040138721466064,-6.976571559906006
shared,218,source,14,-2.904505491256714,-6.976837158203125
shared,219,source,14,-2.90399432182312,-6.97664737701416
shared,220,source,14,-2.9019408226013184,-6.975580215454102
shared,221,source,14,-2.8990838527679443,-6.973841667175293
shared,222,source,14,-2.8979272842407227,-6.973089694976807
shared,223,source,14,-2.8975090980529785,-6.972930431365967
shared,224,source,14,-2.8971986770629883,-6.972818851470947
shared,225,source,14,-2.897010087966919,-6.972750663757324
shared,226,source,14,-2.8969178199768066,-6.972731590270996
shared,227,source,14,-2.8968048095703125,-6.972626686096191
shared,228,source,14,-2.896806478500366,-6.972649574279785
shared,229,source,14,-2.896616220474243,-6.972397804260254
shared,230,source,14,-2.896519422531128,-6.972209930419922
shared,231,source,14,-2.8964931964874268,-6.972134590148926
shared,232,source,14,-2.8964788913726807,-6.972107887268066
shared,233,source,14,-2.8964710235595703,-6.9720892906188965
shared,234,source,14,-2.8964757919311523,-6.9720635414123535
shared,235,source,14,-3.407621145248413,5.167555809020996
shared,236,source,14,-3.407646894454956,5.167592525482178
shared,237,source,14,-3.4076616764068604,5.1676225662231445
shared,238,source,14,-3.407609701156616,5.167560577392578
shared,239,source,14,-3.4075589179992676,5.167487621307373
shared,240,source,14,-3.407510280609131,5.167394638061523
shared,241,source,14,-3.407482147216797,5.167339324951172
shared,242,source,14,-3.407451868057251,5.167263031005859
shared,243,source,14,-3.4074337482452393,5.1671905517578125
shared,244,source,14,-3.407337188720703,5.167024612426758
shared,245,source,14,-3.4072580337524414,5.166867733001709
shared,246,source,14,-3.407179355621338,5.166685581207275
shared,247,source,14,-3.4071390628814697,5.166555404663086
shared,248,source,14,-3.407097578048706,5.166435241699219
shared,249,source,14,-3.4070186614990234,5.166259288787842
shared,250,source,14,-3.4069716930389404,5.166107654571533
shared,251,source,14,-3.4069035053253174,5.165931701660156
shared,252,source,14,-3.406858444213867,5.16579008102417
shared,253,source,14,-3.406856060028076,5.165717124938965
shared,254,source,14,-3.406860828399658,5.165629863739014
shared,255,source,14,-3.4068892002105713,5.165574073791504
shared,256,source,14,-3.406928777694702,5.165515422821045
shared,257,source,14,-3.406992197036743,5.1654839515686035
shared,258,source,14,-3.407024621963501,5.165410995483398
shared,259,source,14,-3.4070591926574707,5.1653265953063965
shared,260,source,14,-3.4071130752563477,5.1652750968933105
shared,261,source,14,-3.4071764945983887,5.165237903594971
shared,262,source,14,-3.407205820083618,5.165156841278076
shared,263,source,14,-3.4072515964508057,5.165101051330566
shared,264,source,14,-3.4073030948638916,5.165050506591797
shared,265,source,14,-3.4073691368103027,5.165005683898926
shared,266,source,14,-3.407440423965454,5.164972305297852
shared,267,source,14,-3.4074954986572266,5.164922714233398
shared,268,source,14,-3.407546043395996,5.164870262145996
shared,269,source,14,-3.407600164413452,5.164850234985352
shared,270,source,14,-3.4076545238494873,5.164810657501221
shared,271,source,14,-3.4077115058898926,5.164779186248779
shared,272,source,14,-3.4077560901641846,5.164755344390869
shared,273,source,14,-3.4078025817871094,5.164748668670654
shared,274,source,14,-3.407843589782715,5.164733409881592
shared,275,source,14,-3.407895565032959,5.164707660675049
shared,276,source,14,-3.4079442024230957,5.164694786071777
shared,277,source,14,-3.407961368560791,5.1646504402160645
shared,278,source,14,-3.4079718589782715,5.164610862731934
shared,279,source,14,-3.4079813957214355,5.164585113525391
shared,280,source,14,-3.407991647720337,5.164553642272949
shared,281,source,14,-3.4079995155334473,5.164516448974609
shared,282,source,14,-3.4080307483673096,5.164482593536377
shared,283,source,14,-3.408071279525757,5.164443016052246
shared,284,source,14,-3.4081034660339355,5.164423942565918
shared,285,source,14,-3.4081428050994873,5.164407730102539
shared,286,source,14,-3.40815806388855,5.164377689361572
shared,287,source,14,-3.408189058303833,5.164348602294922
shared,288,source,14,-3.4082143306732178,5.164346218109131
shared,289,source,14,-3.4082319736480713,5.16432523727417
shared,290,source,14,-3.40824031829834,5.1643266677856445
shared,291,source,14,-3.4082376956939697,5.164313793182373
shared,292,source,14,-3.4082136154174805,5.164290428161621
shared,293,source,14,-3.408210039138794,5.164273262023926
shared,294,source,14,-3.408203601837158,5.164271354675293
shared,295,source,14,-3.408205032348633,5.164277076721191
shared,296,source,14,-3.4082255363464355,5.164271354675293
shared,297,source,14,-3.4082586765289307,5.164257526397705
shared,298,source,14,-3.4083080291748047,5.164242744445801
shared,299,source,14,-3.4083707332611084,5.164217472076416
shared,300,source,14,-3.4084343910217285,5.164168357849121
shared,301,source,14,-3.4084999561309814,5.164104461669922
shared,302,source,14,-3.4085705280303955,5.164034843444824
shared,303,source,14,-3.408620595932007,5.163965225219727
shared,304,source,14,-3.4086670875549316,5.163881778717041
shared,305,source,14,-3.4087088108062744,5.163801670074463
shared,306,source,14,-3.4087605476379395,5.163708209991455
shared,307,source,14,-3.408811092376709,5.163630962371826
shared,308,source,14,-3.4088666439056396,5.163543224334717
shared,309,source,14,-3.4089150428771973,5.163473606109619
shared,310,source,14,-3.4089553356170654,5.163433074951172
shared,311,source,14,-3.408987283706665,5.163403034210205
shared,312,source,14,-3.4090194702148438,5.163379192352295
shared,313,source,14,-3.409066677093506,5.16333532333374
shared,314,source,14,-3.409121036529541,5.163268089294434
shared,315,source,14,-3.4091625213623047,5.163232326507568
shared,316,source,14,-3.4092047214508057,5.1631999015808105
shared,317,source,14,-3.40924334526062,5.163163185119629
shared,318,source,14,-3.409270763397217,5.163132190704346
shared,319,source,14,-3.4092886447906494,5.163134574890137
shared,320,source,14,-3.409295082092285,5.163161277770996
shared,321,source,14,-3.409308910369873,5.163151741027832
shared,322,source,14,-3.4093313217163086,5.163118362426758
shared,323,source,14,-3.409353733062744,5.163073539733887
shared,324,source,14,-3.409386396408081,5.16297721862793
shared,325,source,14,-3.4094133377075195,5.162885665893555
shared,326,source,14,-3.4094398021698,5.162757873535156
shared,327,source,14,-3.409463882446289,5.1626434326171875
shared,328,source,14,-3.409492015838623,5.162510395050049
shared,329,source,14,-3.4095261096954346,5.162363052368164
shared,330,source,14,-3.409562349319458,5.162188529968262
shared,331,source,14,-3.4096124172210693,5.1619720458984375
shared,332,source,14,-3.4096672534942627,5.1617302894592285
shared,333,source,14,-3.4097187519073486,5.161458969116211
shared,334,source,14,-3.4097652435302734,5.161175727844238
shared,335,source,14,-3.4098105430603027,5.160909175872803
shared,336,source,14,-3.409853219985962,5.160645961761475
shared,337,source,14,-3.4098987579345703,5.160386562347412
shared,338,source,14,-3.4099390506744385,5.160148620605469
shared,339,source,14,-3.4099721908569336,5.159960746765137
shared,340,source,14,-3.410001754760742,5.159821510314941
shared,341,source,14,-3.4100234508514404,5.159711837768555
shared,342,source,14,-3.4100449085235596,5.159636974334717
shared,343,source,14,-3.410062789916992,5.159575939178467
shared,344,source,14,-3.410081148147583,5.159515857696533
shared,345,source,14,-3.410094738006592,5.159491062164307
shared,346,source,14,-3.4101102352142334,5.159459114074707
shared,347,source,14,-3.410125732421875,5.159450054168701
shared,348,source,14,-3.4101450443267822,5.1594014167785645
shared,349,source,14,-3.410159111022949,5.159361362457275
shared,350,source,14,-3.4101719856262207,5.159336090087891
shared,351,source,14,-3.410184860229492,5.159366607666016
shared,352,source,14,-3.410200595855713,5.159394264221191
shared,353,source,14,-3.4102110862731934,5.1594014167785645
shared,354,source,14,-3.4102237224578857,5.159423828125
shared,355,source,14,-3.410238265991211,5.159439563751221
shared,356,source,14,-3.4102487564086914,5.159458637237549
shared,357,source,14,-3.410256862640381,5.159487724304199
shared,358,source,14,-3.410261869430542,5.1595611572265625
shared,359,source,14,-3.4102699756622314,5.159640789031982
shared,360,source,14,-3.4102745056152344,5.15972900390625
shared,361,source,14,-3.4102749824523926,5.159825801849365
shared,362,source,14,-3.4102582931518555,5.159909248352051
shared,363,source,14,-3.410238265991211,5.159946918487549
shared,364,source,14,-3.4102189540863037,5.160013675689697
shared,365,source,14,-3.410191297531128,5.160093307495117
shared,366,source,14,-3.410153865814209,5.160224914550781
shared,367,source,14,-3.4101085662841797,5.1603522300720215
shared,368,source,14,-3.410059928894043,5.1605377197265625
shared,369,source,14,-3.4100091457366943,5.160747051239014
shared,370,source,14,-3.4099676609039307,5.1609721183776855
shared,371,source,14,-3.4099388122558594,5.16120719909668
shared,372,source,14,-3.40990948677063,5.161417007446289
shared,373,source,14,-3.4098803997039795,5.161648273468018
shared,374,source,14,-3.4098453521728516,5.161931037902832
shared,375,source,14,-3.4098055362701416,5.162207126617432
shared,376,source,14,-3.4097557067871094,5.162474155426025
shared,377,source,14,-3.4096851348876953,5.162768840789795
shared,378,source,14,-3.4096078872680664,5.163046836853027
shared,379,source,14,-3.409510850906372,5.1633219718933105
shared,380,source,14,-3.4093852043151855,5.163666248321533
shared,381,source,14,-3.4092559814453125,5.163978099822998
shared,382,source,14,-3.409120798110962,5.164261817932129
shared,383,source,14,-3.4089720249176025,5.164508819580078
shared,384,source,14,-3.408803701400757,5.164706707000732
shared,385,source,14,-3.4086127281188965,5.164884567260742
shared,386,source,14,-3.4084086418151855,5.164994716644287
shared,387,source,14,-3.4082283973693848,5.165050029754639
shared,388,source,14,-3.4080722332000732,5.1650848388671875
shared,389,source,14,-3.4079482555389404,5.1650872230529785
shared,390,source,14,-3.4078290462493896,5.165080547332764
shared,391,source,14,-3.407721519470215,5.165069103240967
shared,392,source,14,-3.4076573848724365,5.165030479431152
shared,393,source,14,-3.407583713531494,5.165033340454102
shared,394,source,14,-3.4075045585632324,5.165042877197266
shared,395,source,14,-3.407412052154541,5.165032386779785
shared,396,source,14,-3.4073314666748047,5.165024280548096
shared,397,source,14,-3.407254695892334,5.165048122406006
shared,398,source,14,-3.4072048664093018,5.165075778961182
shared,399,source,14,-3.4071507453918457,5.165121555328369
shared,400,source,14,-3.407083511352539,5.165180683135986
shared,401,source,14,-3.4069933891296387,5.165227890014648
shared,402,source,14,-3.4069037437438965,5.1652326583862305
shared,403,source,14,-3.4068479537963867,5.16523551940918
shared,404,source,14,-3.4067940711975098,5.165207386016846
shared,405,source,14,-3.406736135482788,5.165175914764404
shared,406,source,14,-3.406694173812866,5.165134429931641
shared,407,source,14,-3.4066638946533203,5.165093421936035
shared,408,source,14,-3.406644821166992,5.165047645568848
shared,409,source,14,-3.406597137451172,5.164928913116455
shared,410,source,14,-3.4065752029418945,5.164879322052002
shared,411,source,14,-3.4065654277801514,5.164844989776611
shared,412,source,14,-3.406543731689453,5.164801597595215
shared,413,source,14,-3.4065022468566895,5.164725303649902
shared,414,source,14,-3.4064300060272217,5.164589881896973
shared,415,source,14,-3.4063329696655273,5.164397716522217
shared,416,source,14,-3.406217098236084,5.164213180541992
shared,417,source,14,-3.406123399734497,5.164048671722412
shared,418,source,14,-3.406038284301758,5.163893699645996
shared,419,source,14,-3.4059391021728516,5.163726806640625
shared,420,source,14,-3.4058330059051514,5.163572311401367
shared,421,source,14,-3.40574312210083,5.163451671600342
shared,422,source,14,-3.4056801795959473,5.163339614868164
shared,423,source,14,-3.4056239128112793,5.163244247436523
shared,424,source,14,-3.405585765838623,5.1631951332092285
shared,425,source,14,-3.4055449962615967,5.163153648376465
shared,426,source,14,-3.405515670776367,5.163145065307617
shared,427,source,14,-3.4054551124572754,5.163093090057373
shared,428,source,14,-3.405381441116333,5.163028717041016
shared,429,source,14,-3.40531849861145,5.16298246383667
shared,430,source,14,-3.4052460193634033,5.162923812866211
shared,431,source,14,-3.4051356315612793,5.1628804206848145
shared,432,source,14,-3.4050238132476807,5.162846088409424
shared,433,source,14,-3.404919385910034,5.162830352783203
shared,434,source,14,-3.4048216342926025,5.162753582000732
shared,435,source,14,-3.4047412872314453,5.162692070007324
shared,436,source,14,-3.404686212539673,5.162678241729736
shared,437,source,14,-3.4045989513397217,5.162614822387695
shared,438,source,14,-3.4045097827911377,5.162569046020508
shared,439,source,14,-3.4044315814971924,5.162525177001953
shared,440,source,14,-3.404372215270996,5.162480354309082
shared,441,source,14,-3.40433669090271,5.162518501281738
shared,442,source,14,-3.4042961597442627,5.162552356719971
shared,443,source,14,-3.4042482376098633,5.16256046295166
shared,444,source,14,-3.4042224884033203,5.162604331970215
shared,445,source,14,-3.404216766357422,5.162685871124268
shared,446,source,14,-3.404226064682007,5.162766456604004
shared,447,source,14,-3.4042296409606934,5.162848949432373
shared,448,source,14,-3.4042468070983887,5.162928581237793
shared,449,source,14,-3.4042952060699463,5.1630449295043945
shared,450,source,14,-3.404350996017456,5.163168430328369
shared,451,source,14,-3.4044058322906494,5.163270473480225
shared,452,source,14,-3.404480457305908,5.163392066955566
shared,453,source,14,-3.404555559158325,5.163501739501953
shared,454,source,14,-3.404628276824951,5.1636152267456055
shared,455,source,14,-3.404698610305786,5.163717269897461
shared,456,source,14,-3.404757499694824,5.163790225982666
shared,457,source,14,-3.404805898666382,5.163876533508301
shared,458,source,14,-3.404858350753784,5.163985729217529
shared,459,source,14,-3.404913902282715,5.164105415344238
shared,460,source,14,-3.404973030090332,5.164222240447998
shared,461,source,14,-3.4050116539001465,5.164308547973633
shared,462,source,14,-3.4050543308258057,5.1644158363342285
shared,463,source,14,-3.4050846099853516,5.164496898651123
shared,464,source,14,-3.4051191806793213,5.164570331573486
shared,465,source,14,-3.4051284790039062,5.164578437805176
shared,466,source,14,-3.405129909515381,5.1645894050598145
shared,467,source,14,-3.405118227005005,5.164577007293701
shared,468,source,14,-4.314208030700684,3.1740775108337402
shared,469,source,14,-4.314282417297363,3.174079656600952
shared,470,source,14,-4.314342498779297,3.1740665435791016
shared,471,source,14,-4.3143415451049805,3.1740317344665527
shared,472,source,14,-4.3143510818481445,3.174037218093872
shared,473,source,14,-4.314321517944336,3.1740195751190186
shared,474,source,14,-4.314228057861328,3.1739401817321777
shared,475,source,14,-4.314165115356445,3.1738953590393066
shared,476,source,14,-4.314064979553223,3.1738500595092773
shared,477,source,14,-4.313950538635254,3.1737942695617676
shared,478,source,14,-4.313854217529297,3.1737403869628906
shared,479,source,14,-4.313715934753418,3.173704147338867
shared,480,source,14,-4.313623905181885,3.173672676086426
shared,481,source,14,-4.313436508178711,3.173553943634033
shared,482,source,14,-4.313262939453125,3.1734509468078613
shared,483,source,14,-4.313131332397461,3.173384189605713
shared,484,source,14,-4.312973499298096,3.173323392868042
shared,485,source,14,-4.312815189361572,3.173224925994873
shared,486,source,14,-4.312605857849121,3.1730496883392334
shared,487,source,14,-4.312341690063477,3.172823905944824
shared,488,source,14,-4.312142372131348,3.1726653575897217
shared,489,source,14,-4.311977863311768,3.1725521087646484
shared,490,source,14,-4.311854362487793,3.172433614730835
shared,491,source,14,-4.311790466308594,3.1723849773406982
shared,492,source,14,-4.311758041381836,3.1724257469177246
shared,493,source,14,-4.3117475509643555,3.17252779006958
shared,494,source,14,-4.3117170333862305,3.1726441383361816
shared,495,source,14,-4.311628341674805,3.1727776527404785
shared,496,source,14,-4.311539649963379,3.172914743423462
shared,497,source,14,-4.3115105628967285,3.173194169998169
shared,498,source,14,-4.311557769775391,3.173588752746582
shared,499,source,14,-4.311622142791748,3.173997163772583
shared,500,source,14,-4.311737537384033,3.1744728088378906
shared,501,source,14,-4.311875343322754,3.1750175952911377
shared,502,source,14,-4.311995983123779,3.1754679679870605
shared,503,source,14,-4.312070846557617,3.175955057144165
shared,504,source,14,-4.31226921081543,3.1766505241394043
shared,505,source,14,-4.312479019165039,3.1773364543914795
shared,506,source,14,-4.312700271606445,3.177893877029419
shared,507,source,14,-4.312877655029297,3.1783559322357178
shared,508,source,14,-4.313092231750488,3.1788597106933594
shared,509,source,14,-4.31320858001709,3.179168224334717
shared,510,source,14,-4.31329870223999,3.1794180870056152
shared,511,source,14,-4.313370704650879,3.179661512374878
shared,512,source,14,-4.3134565353393555,3.1798603534698486
